feature,gain
prob_propension_prev,134141.92791461945
prev_var_rpta_alt,71607.95506572723
prob_auto_cura_prev,61758.109367370605
prob_alrt_temprana_prev,51128.906581401825
nombre_dpto_dirp,44756.940643787384
prev_alternativa_aplicada_agr,42091.85379076004
ciiu,38944.25611305237
prev_dias_mora_fin,36966.464534282684
lote_prev,34919.53377914429
prev_descripcion_ranking_post_ult,29039.295480251312
prev_marca_alternativa_orig,26313.917686462402
total_ing,13050.341125011444
segm,12987.668060302734
prev_descripcion_ranking_mejor_ult,12944.91958475113
subsegm,12709.276456356049
prev_endeudamiento,11868.671382904053
f_vinc,11379.766743183136
tot_activos,11349.186981678009
tot_patrimonio,10654.093018054962
f_ult_mantenimiento,9577.481743335724
egresos_mes,7315.6012625694275
ocup,7004.976903438568
tot_pasivos,6506.099594116211
ano_nac_cli,6277.254743099213
edad_cli,6132.099833488464
prev_max_mora,5913.935293674469
canal_actualizacion,5850.168990135193
prev_min_mora,4996.121977329254
prev_valor_cuota_mes,4492.574011802673
prev_vlr_vencido,4357.968788146973
prev_marca_agrupada_rgo,3670.9372148513794
prev_cant_gestiones,3591.1300563812256
prev_saldo_capital,3288.3499031066895
nivel_academico,3118.604607105255
estado_civil,2681.191252231598
subsector,2450.2774987220764
prev_marca_alternativa,2434.3520860671997
region_of,2359.1629581451416
cli_actualizado,2071.4481654167175
personas_dependientes,2034.9057054519653
prev_pago_cuota,1774.404978275299
prev_marca_alt_apli,1658.0761413574219
nicho,1633.5809183120728
prev_marca_alt_rank,1500.293902873993
origen_fondos,1350.7742938995361
prev_porc_pago_mes,1160.6010346412659
prev_porc_pago_cuota,1059.491909980774
num_hijos,1010.6072783470154
prev_marca_pago,1004.0650272369385
genero_cli,989.0808019638062
tipo_vivienda,922.7563099861145
prev_cant_acuerdo,912.1827988624573
prev_pago_mes,889.3191208839417
cod_tipo_doc,874.571270942688
declarante,680.3326416015625
prev_cant_acuerdo_binario,392.4989404678345
prev_marca_debito_mora,360.16165828704834
act_econom,269.35458183288574
sector,166.66631078720093
ctrl_terc,152.7535319328308
prev_promesas_cumplidas,109.36150789260864
prev_cant_promesas_cumplidas_binario,25.283699989318848
prev_rango_mora,22.94950008392334
prev_cant_gestiones_binario,0.0
prev_rpc,0.0
tipo_cli,0.0
prev_pagos_tanque,0.0
tiene_snapshot_demografico,0.0
smmlv,0.0
