ID,var_rpta_alt,Prob_uno
257335#444821#635511,1,0.4596614638317398
59584#350400#730364,1,0.43370954080989016
397604#973821#106521,1,0.4225964102926401
368086#382995#696856,1,0.5036546069090577
255009#434238#645924,0,0.2786495232921922
417751#109691#978105,1,0.7065502377785965
15170#695103#385239,1,0.4251930065118402
64083#1033680#46662,1,0.43187491514781484
522913#59984#1044995,1,0.42132009952192406
46441#633313#447029,1,0.5161164483354735
552#559118#521224,1,0.34886185842963746
302051#315690#767452,1,0.3778878017897288
118179#314102#769034,1,0.43944851000546026
523516#404708#675216,1,0.5026590243047804
113208#181011#907122,1,0.6021807243356723
276581#207846#874865,1,0.3518162470626888
580908#867522#212820,1,0.35513173041137003
383095#52705#1052247,1,0.5816943793739606
76615#1047728#32614,0,0.27427892688003835
138091#115168#972652,1,0.5853229692025136
357721#73523#1031527,1,0.5171611999830953
442359#1056644#23698,1,0.5160742866265688
500313#1050223#30119,1,0.48197970934399076
402096#43169#1061649,0,0.26873983869403084
507348#350702#730065,1,0.5119447202720708
204337#300670#782445,1,0.4201559609894173
436763#346219#734486,1,0.6553210415471933
465398#824439#255903,1,0.32975599981465276
242084#623070#457272,0,0.2830461143445771
267078#663701#416641,0,0.2983972224381358
200340#725868#354474,1,0.399650788562937
600026#796685#283657,1,0.693246054700499
439822#145524#942570,1,0.44013056197295647
608644#280869#802173,1,0.4796520353179227
458223#711065#369277,1,0.829516704996669
492870#106066#981715,1,0.42419644371917253
385325#66845#1038184,0,0.301432924975996
283801#483018#597324,1,0.369306945372349
39603#35099#1069954,1,0.6752365277158716
35925#278860#804180,1,0.4099194264735762
536107#889478#190864,1,0.4640511955841067
356231#190000#898235,1,0.4115509700596961
314131#751663#328679,0,0.21021331511911875
32776#599515#480827,1,0.5655182780111413
296565#487009#593333,1,0.3512557254289094
420032#784025#296317,1,0.716467268063967
348284#542773#537569,1,0.5955612289446893
514260#342341#738326,1,0.3387985838337464
373936#834274#246068,0,0.2775179750347962
158015#815577#264765,0,0.21371133654454222
107393#729831#350511,1,0.4924978422661165
395121#718382#361960,1,0.7020389823202505
559180#418892#661101,1,0.5282425786428243
311073#1041116#39226,0,0.06313049611773931
106125#404910#675013,1,0.3761104785949348
64548#241610#841409,1,0.5246489269834631
40213#836170#244172,1,0.4527242880134921
332192#909736#170606,1,0.3983317393367294
622359#728230#352112,1,0.667121348769386
77961#237821#845157,0,0.17866893708216794
590929#109550#978245,1,0.5536743660907153
349843#282225#800828,1,0.7472320166862682
513716#50850#1054052,0,0.2896223238661487
46597#462853#617489,1,0.3983573941208154
302245#848604#231738,0,0.15548913815180615
507759#368273#711587,0,0.26706969284496934
494605#98713#989059,1,0.5857927026748068
541991#910909#169433,1,0.34315380823420844
